Codigo;Município;Area;Densidade;Distancia;RendaperCapita;Gini;Intensidadedapobreza;IDH;Populacaototal
210090;Araioses (MA);1596,1;21,9;269,3761213;45,3;0,62;67,59;0,486;34906
500124;Aral Moreira (MS);1660,3;4,9;295,0317885;148,64;0,61;47,81;0,723;8055
290220;Aramari (BA);332,7;27,8;98,79425567;94,75;0,61;58,57;0,588;9258
430085;Arambaré (RS);517,5;7,6;101,3127305;212,64;0,53;36,48;0,743;3917
210095;Arame (MA);3068,9;9,9;302,6583004;65,15;0,55;57,77;0,535;29843
350300;Aramina (SP);203,3;23,4;402,1416125;258,06;0,5;30,67;0,794;4763
350310;Arandu (SP);287;21,1;250,9485556;193,82;0,48;35,32;0,731;6065
310360;Arantina (MG);89,7;32,4;234,7607576;157,17;0,49;33,64;0,736;2906
350315;Arapeí (SP);153,7;17;243,7925943;168,32;0,54;36,23;0,716;2618
270030;Arapiraca (AL);367,5;506,5;101,8724956;129,21;0,59;49,99;0,656;186466
170230;Arapoema (TO);1558,9;4,5;290,1174149;157,96;0,64;44,96;0,654;7025
310370;Araponga (MG);305,3;25,9;176,9274866;96,46;0,54;51,11;0,657;7916
